Noeud depart;Noeud arrivee;Ligne ouverte?;R(pu);X(pu);Imax (A)
18;1;0;0.0278;0.0139;309.375
1;2;0;0.252670139;0.28735;305.0
2;3;0;0.09425119375;0.1071875;305.0
3;4;0;0.22656348;0.102375;177.0
4;5;0;0.25542147375;0.2025625;238.0
5;6;0;0.24687084825;0.1409625;195.0
17;7;0;0.00275;0.001375;309.375
7;8;0;0.22739682825;0.1803375;238.0
8;9;0;0.08375;0.041875;309.375
9;10;0;0.04269896775;0.0338625;238.0
10;11;0;0.26822013075;0.2127125;238.0
11;12;0;0.30035187;0.1715;195.0
10;13;0;0.350614836;0.2002;195.0
18;14;0;0.08046875;0.064375;400.125
14;15;0;0.085875;0.0687;400.125
15;16;0;0.15925;0.079625;309.375
12;6;1;0.13485186;0.077;195.0
16;13;1;0.01015;0.005075;309.375
