Noeud depart;Noeud arrivee;Ligne ouverte?;R(pu);X(pu);Imax(A)
17;7;0;0.0086875;0.001375;1010.0
7;1;0;0.0160625;0.01285;405.0
1;2;0;0.252670139;0.28735;305.0
2;3;0;0.09425119375;0.1071875;305.0
3;4;0;0.22656348;0.102375;177.0
4;9;1;0.1765625;0.14125;405.0
9;10;0;0.04269896775;0.0338625;238.0
10;8;0;0.053125;0.0425;405.0
8;18;0;0.0625;0.05;405.0
17;5;0;0.18053125;0.144425;405.0
5;6;0;0.24687084825;0.1409625;195.0
6;12;0;0.0259375;0.02075;405.0
12;11;0;0.30035187;0.1715;195.0
11;13;0;0.071875;0.0575;405.0
13;16;0;0.01015;0.005075;309.375
16;15;1;0.15925;0.079625;309.375
15;14;0;0.085875;0.0687;400.125
14;18;0;0.08046875;0.064375;400.125
