Numero du noeud;Type;X;Y;NOS reseau initial;NOS reseau final;P (pu);Q(pu)
1;Secondary substation;601429;31373.8;0;0;0.046660014624289;0.0186639608000174
2;Secondary substation;598572;29840.1;0;0;0.000140000404445;5.60000266092475e-05
3;Secondary substation;597572;29146.0;0;0;0.004120002484829;0.0016479970161174
4;Secondary substation;596615;28877.0;0;0;0.0219500093473089;0.00877998254644634
5;Secondary substation;598132;27387.7;0;0;0.0;0.0
6;Secondary substation;599571;26778.0;0;0;0.0014500040164632;0.000580000206623366
7;Secondary substation;601939;31439.5;0;0;0.088469995131145;0.0353319124241734
8;Secondary substation;601812;29530.7;0;0;0.000800000852079;0.000319999568440137
9;Secondary substation;602218;28149.3;0;0;0.001020000691798;0.000407999291920466
10;Secondary substation;602580;28014.2;0;0;0.000189999819372;7.59997443061973e-05
11;Secondary substation;601842;25901.9;0;0;0.0041699979073049;0.00166799513683777
12;Secondary substation;600332;26446.0;0;0;0.000210000142429;8.39998542189194e-05
13;Secondary substation;604487;26944.0;0;0;0.0025200014306049;0.00100799813921006
14;Secondary substation;603303;30420.6;0;0;0.003220000945942;0.00128799726950356
15;Secondary substation;604042;28282.0;0;0;0.002269999063651;0.000907997433802862
16;Secondary substation;604403;27119.0;0;0;0.01957000182181;0.0078279818341162
17;Primary substation;602113;31575.0;0;0;0.0;0.0
18;Primary substation;602123;31585.0;0;0;0.0;0.0
