Noeud depart;Noeud arrivee;Ligne ouverte?;R(pu);X(pu);Imax (A)
70;1;0;0,090661157;0,088760331;270
1;2;0;0,120909091;0,118347107;270
2;3;0;0,060413223;0,059173554;270
3;4;0;0,030247934;0,029586777;270
4;5;0;0,15107438;0,147933884;270
5;6;0;0,090661157;0,088760331;270
6;7;0;0,060413223;0,059173554;270
7;8;0;0,060413223;0,059173554;270
3;9;0;0,089256198;0,060661157;208
9;10;0;0,133884298;0,090991736;208
10;11;0;0,089256198;0,060661157;208
11;12;0;0,111570248;0,075785124;208
12;13;0;0,066942149;0,045454545;208
13;14;0;0,160661157;0,109173554;208
6;67;0;0,089256198;0,060661157;208
67;68;0;0,133884298;0,090991736;208
70;15;0;0,090661157;0,088760331;270
15;16;0;0,030247934;0,029586777;270
16;17;0;0,120909091;0,118347107;270
17;18;0;0,07553719;0,073966942;270
18;19;0;0,066446281;0,065041322;270
19;20;0;0,093636364;0,091735537;270
20;21;0;0,039256198;0,038429752;270
16;22;0;0,182975207;0,124380165;208
22;23;0;0,133884298;0,091735537;208
23;24;0;0,089256198;0,060661157;208
24;25;0;0,044628099;0,030330579;208
25;26;0;0,044628099;0,030330579;208
26;27;0;0,089256198;0,060661157;208
27;28;0;0,089256198;0,060661157;208
69;29;0;0,030247934;0,029586777;270
29;30;0;0,060413223;0,059173554;270
30;31;0;0,060413223;0,059173554;270
31;32;0;0,066446281;0,065041322;270
32;33;0;0,096694215;0,094628099;270
33;34;0;0,063471074;0,06214876;270
34;35;0;0,060413223;0,059173554;270
35;36;0;0,090661157;0,088760331;270
36;37;0;0,120909091;0,118347107;270
38;39;0;0,044628099;0,030330579;208
38;40;0;0,089256198;0,060661157;208
40;41;0;0,151735537;0,103140496;208
41;42;0;0,107107438;0,072809917;208
39;43;0;0,098181818;0,066694215;208
43;44;0;0,044628099;0,030330579;208
41;45;0;0,089256198;0,060661157;208
34;46;0;0,044628099;0,030330579;208
46;47;0;0,089256198;0,060661157;208
47;48;0;0,089256198;0,060661157;208
48;49;0;0,089256198;0,060661157;208
69;50;0;0,030247934;0,029586777;270
50;51;0;0,120909091;0,118347107;270
51;52;0;0,120909091;0,118347107;270
52;53;0;0,07553719;0,073966942;270
53;54;0;0,090661157;0,088760331;270
54;55;0;0,090661157;0,088760331;270
51;56;0;0,02231405;0,015123967;208
56;57;0;0,02231405;0,015123967;208
57;58;0;0,066942149;0,045454545;208
58;59;0;0,107107438;0,072809917;208
55;60;0;0,098181818;0,066694215;208
60;61;0;0,098181818;0,066694215;208
61;62;0;0,066942149;0,045454545;208
62;63;0;0,133884298;0,090991736;208
61;64;0;0,089256198;0,060661157;208
64;65;0;0,044628099;0,030330579;208
65;66;0;0,089256198;0,060661157;208
8;49;1;7,50E-02;0,06;234
8;37;1;0,031487603;0,020165289;234
14;45;1;0,056280992;0,044958678;234
21;66;1;0,020991736;0,01677686;234
28;63;1;0,020991736;0,01677686;234
44;59;1;0,020991736;0,01677686;234
42;37;1;0,037520661;0,03;234
38;58;1;0,037520661;0,03;234
20;26;1;0,037520661;0,03;234
68;49;1;0,056280992;0,044958678;234
66;14;1;0,037520661;0,03;234
