Numero du noeud;Type;X;Y;NOS reseau initial;NOS reseau final;P (pu);Q(pu)
1;Secondary substation;601429;31373,8;0;0;0,046660015;0,018663961
2;Secondary substation;598572;29840,1;0;0;0,00014;5,6E-05
3;Secondary substation;597572;29146;0;0;0,004120002;0,001647997
4;Secondary substation;596615;28877;0;0;0,021950009;0,008779983
5;Secondary substation;598132;27387,7;0;0;0;0
6;Secondary substation;599571;26778;0;0;0,001450004;0,00058
7;Secondary substation;601939;31439,5;0;0;0,088469995;0,035331912
8;Secondary substation;601812;29530,7;0;0;0,000800001;0,00032
9;Secondary substation;602218;28149,3;0;0;0,001020001;0,000407999
10;Secondary substation;602580;28014,2;0;0;0,00019;7,59997E-05
11;Secondary substation;601842;25901,9;0;0;0,004169998;0,001667995
12;Secondary substation;600332;26446;0;0;0,00021;8,39999E-05
13;Secondary substation;604487;26944;0;0;0,002520001;0,001007998
14;Secondary substation;603303;30420,6;0;0;0,003220001;0,001287997
15;Secondary substation;604042;28282;0;0;0,002269999;0,000907997
16;Secondary substation;604403;27119;0;0;0,019570002;0,007827982
17;Primary substation;602113;31575;0;0;0;0
18;Primary substation;602123;31585;0;0;0;0
